NTSB DCA22WA102, Attachment (Enter Attachment Number) to (Enter Report Name)
Operator: China Eastern
Vehicle ID/Registration: B-1791
Source of Data: Boeing 737-800
Date of Event: 03/21/22
Location: Wuzhou, China
HISTORY
Project Title: B737-800_CES_DCA22WA102_GuangzhouChina_FlightIntoTerrain
Scratch Version: 007-ParameterValidation
File Created on 04/14/2022 03:38 PM
DATA
Time,115 VAC Stdby Bus Sect 2,115 VAC XFR Bus 2,115VAC UNAVAIL TO L IGN 1,115VAC UNAVAIL TO L IGN 2,115VAC UNAVAIL TO R IGN 1,115VAC UNAVAIL TO R IGN 2,28 VDC BAT BUS SECT 2,28 VDC BUS 1 SECT 2,28 VDC BUS 2 SECT 3,28 VDC HOT BAT BUS,28 VDC STDBY BUS SECT 2,28 VDC SW HOT BAT BUS S1,Absolute Roll Rate,Accel Lat,Accel Long,Accel Vert,Active Altitude Ref - FCC,Aileron Actuator Pos-L,Aileron Quadrant Pos,Aileron Roll Cmd-L,Aileron-L,Aileron-R,Air Gnd On Gnd,AIR GROUND - SMYDC-2,Air-Ground,Airspeed Comp,Airspeed Max Allowable,Airspeed Target FCC,Alt 1 Baro Corr,Alt 2 Baro Corr,Alt 3 Baro Corr,Alt 4 Baro Corr,ALT ACQ Engaged - FCC,Alt Baro Corr Combine,ALT HOLD Engaged - FCC,Altitude Press,Altitude Radio DEU,Altitude Radio-1,Altitude Radio-2,AP Off - FCC,AP-1 Warn,AP-2 Warn,APU N1,APU On,APU Ready To Load,AT FMC SPD Engaged,CMD A - FCC,CMD A Light - FCC,CMD B Light - FCC,Ctrl Col Force Pitch CWS,Ctrl Col Force Pitch CWS Foreign,Ctrl Col Force Pitch CWS Local,Ctrl Col Pos-L,Ctrl Col Pos-R,Ctrl Whl Force Roll CWS,Ctrl Whl Pos-L,Ctrl Whl Pos-R,Drift Angle -FMC,Elevator Actuator Pos-L,Elevator Pitch Cmd-L,Elevator-L,Elevator-R,Eng1 Cutoff SW,Eng1 EGT,Eng1 Fire,Eng1 FMC N1 Bug Drive,Eng1 FMC N1 Target,Eng1 FMV Pos,Eng1 Fuel Flow,Eng1 N1,Eng1 N1 Cmd,Eng1 N1 Ref,Eng1 N1 Tach,Eng1 N2 Actual,Eng1 N2 Tach,Eng1 Oil Press,Eng1 Oil Qty,Eng1 Oil Temp,Eng1 TRA,Eng2 Cutoff SW,Eng2 EGT,Eng2 Fire,Eng2 FMC N1 Bug Drive,Eng2 FMC N1 Target,Eng2 FMV Pos,Eng2 Fuel Flow,Eng2 N1,Eng2 N1 Cmd,Eng2 N1 Ref,Eng2 N1 Tach,Eng2 N2 Actual,Eng2 N2 Tach,Eng2 Oil Press,Eng2 Oil Qty,Eng2 Oil Temp,Eng2 TRA,FAC Engage - FCC,FCC In Command of MACH Trim - R,FCC-L In Command of MACH Trim,FD-A Switch - FCC,FD-B Switch - FCC,Flap Handle Pos,Flap-L,Flap-R,FMC Selected Airspeed,FMC Selected Altitude,FMC Selected Mach,FMC Valid,G/S Dev Warn - FCC,GP Engage - FCC,Ground Spd,Groundspeed  FMC,Groundspeed Disp -L,GS Engaged - FCC,HDG SEL Light - FCC,HDG SELECT - FCC,Heading,Heading Selected FCC,High Speed Buffet Speed,Hyd Oil Press - A,Hyd Oil Press - B,Hyd Oil Qty - A,Hyd Oil Qty - B,Hydraulic Oil Pressure Standby,Hydraulic System A ELEC,Hydraulic System A Eng 1,Hydraulic System B ELEC,Hydraulic System B Eng 2,Hydraulic System Standby,IAS Display - FCC,LNAV Engaged - FCC,LNAV Light - FCC,LOC Engaged - FCC,LOCAL LIMITED MASTER FCC-L,LOCAL LIMITED MASTER FCC-R,LVL Change Light - FCC,MACH Trim Servo Brake Status - FCC-L,N1 Light - FCC,N1 Limit Mode Cmd - FCC,Pitch Angle,Roll Angle,Roll Rate,Rudder,Rudder Ped Pos,Rudder Pos- LVDT DEMOD-STBY PCU,Rudder Servo Cmd-STBY PCU,Selected Airspeed FCC,Selected Altitude FCC,Selected Course Foreign FCC,Selected Course Local FCC,Selected Mach FCC,Selected Vertical Speed FCC,Single Channel - FCC,SPD Light On - FCC,SPEED INTERVENTION ACTIVE - FCC,TOGA Engaged - FCC,Track Angle True FMC,VISUAL ALTITUDE ALERT - FCC,VNAV Light On - FCC,VNAV PATH Engaged - FCC,VNAV SPD Engaged - FCC,Wind Direction True -FMC,Wind Speed -FMC,Yaw Rate
(sec),(),(),(),(),(),(),(),(),(),(),(),(),(deg/s),(g),(g),(g),(),(deg),(deg),(deg),(deg),(deg),(),(),(),(kts),(kts),(kts),(ft),(ft),(ft),(ft),(),(ft),(),(ft),(ft),(ft),(ft),(),(),(),(%RPM),(),(),(),(),(),(),(lb),(lb),(lb),(deg),(deg),(lb),(deg),(deg),(deg),(deg),(deg),(deg),(deg),(),(degC),(),(%RPM),(%RPM),(%),(pph),(%RPM),(%RPM),(%RPM),(%RPM),(%RPM),(%RPM),(psi),(qt),(degC),(deg),(),(degC),(),(%RPM),(%RPM),(%),(pph),(%RPM),(%RPM),(%RPM),(%RPM),(%RPM),(%RPM),(psi),(qt),(degC),(deg),(),(),(),(),(),(deg),(deg),(deg),(kts),(ft),(mach),(),(),(),(kts),(kts),(kts),(),(),(),(deg),(deg),(kts),(psi),(psi),(%),(%),(psi),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(deg),(deg),(deg/s),(deg),(deg),(deg),(deg),(kts),(ft),(deg),(deg),(mach),(fpm),(),(),(),(),(deg),(),(),(),(),(deg),(kts),(deg/s)
,"%N(0.0:0.0=""OFF"",1.0:1.0=""ON"")","%N(0.0:0.0=""OFF"",1.0:1.0=""ON"")","%N(0.0:0.0=""NORMAL"",1.0:1.0=""UNAVAIL"")","%N(0.0:0.0=""NORMAL"",1.0:1.0=""UNAVAIL"")","%N(0.0:0.0=""NORMAL"",1.0:1.0=""UNAVAIL"")","%N(0.0:0.0=""NORMAL"",1.0:1.0=""UNAVAIL"")","%N(0.0:0.0=""OFF"",1.0:1.0=""ON"")","%N(0.0:0.0=""OFF"",1.0:1.0=""ON"")","%N(0.0:0.0=""OFF"",1.0:1.0=""ON"")","%N(0.0:0.0=""OFF"",1.0:1.0=""ON"")","%N(0.0:0.0=""OFF"",1.0:1.0=""ON"")","%N(0.0:0.0=""OFF"",1.0:1.0=""ON"")",NUMBER,NUMBER,NUMBER,NUMBER,"%N(0.0:0.0=""MCP Alt"",1.0:1.0=""FMC Alt"")",NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,"%N(0:0=""Air"",1:1=""Grnd"")","%N(0.0:0.0=""AIR"",1.0:1.0=""GND"")","%N(0.0:0.0=""Air"",1.0:1.0=""Gnd"")",NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,"%N(0:0=""Not Eng"",1:1=""Eng"")",NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,"%N(0.0:0.0=""On"",1.0:1.0=""F/D Only"")","%N(0:0=""On"",1:1=""Off"")","%N(0:0=""On"",1:1=""Off"")",NUMBER,"%N(0.0:0.0=""OFF"",1.0:1.0=""ON"")","%N(0.0:0.0=""NOT RTL"",1.0:1.0=""RTL"")","%N(0:0=""Not FMC Spd"",1:1=""FMC Spd"")","%N(0:0=""Not SELECTED"",1:1=""SELECTED"")","%N(0:0=""Off"",1:1=""On"")","%N(0:0=""Off"",1:1=""On"")",NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,"%N(0.0:0.0=""RUN"",1.0:1.0=""CUTOFF"")",NUMBER,"%N(0.0:0.0=""NO FIRE"",1.0:1.0=""FIRE"")",NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,"%N(0.0:0.0=""RUN"",1.0:1.0=""CUTOFF"")",NUMBER,"%N(0.0:0.0=""NO FIRE"",1.0:1.0=""FIRE"")",NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,"%N(0:0=""Not Engage"",1:1=""Engage"")","%N(0.0:0.0=""SELECT"",1.0:1.0=""NOT SEL"")","%N(0.0:0.0=""SELECT"",1.0:1.0=""NOT SEL"")","%N(0:0=""SW Off"",1:1=""SW On"")","%N(0:0=""SW Off"",1:1=""SW On"")",NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,"%N(0:0=""Not"",1:1=""FMC Valid"")","%N(0:0=""Not Warn"",1:1=""Warn"")","%N(0:0=""Not Engage"",1:1=""Engage"")",NUMBER,NUMBER,NUMBER,"%N(0:0=""Not Eng"",1:1=""Eng"")","%N(0:0=""Off"",1:1=""On"")","%N(0:0=""Not Eng"",1:1=""Eng"")",NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,"%N(0.0:0.0=""LO PRESS"",1.0:1.0=""NORMAL"")","%N(0.0:0.0=""LO PRESS"",1.0:1.0=""NORMAL"")","%N(0.0:0.0=""LO PRESS"",1.0:1.0=""NORMAL"")","%N(0.0:0.0=""LO PRESS"",1.0:1.0=""NORMAL"")","%N(0.0:0.0=""LO PRESS"",1.0:1.0=""NORMAL"")","%N(0.0:0.0=""DISP MACH"",1.0:1.0=""DISPLAY IAS"")","%N(0:0=""Not Eng"",1:1=""Engage"")","%N(0:0=""Off"",1:1=""On"")","%N(0:0=""Not Eng"",1:1=""Eng"")","%N(0.0:0.0=""NOT SET"",1.0:1.0=""SET"")","%N(0:0=""Not SET"",1:1=""SET"")","%N(0:0=""Off"",1:1=""On"")","%N(0.0:0.0=""BRAKE ON"",1.0:1.0=""BRAKE OFF"")","%N(0:0=""Off"",1:1=""On"")",NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,"%N(0:0=""Not Eng"",1:1=""Single Chl Eng"")","%N(0:0=""Off"",1:1=""On"")","%N(0:0=""Not SPD INT SEL"",1:1=""SPD INT SEL"")","%N(0:0=""Not Enga"",1:1=""To/GA"")",NUMBER,"%N(0:0=""VIS ALRT OFF"",1:1=""VIS ALRT ON"")","%N(0:0=""Off"",1:1=""On"")","%N(0:0=""Not V NAV PATH"",1:1=""V NAV PATH"")","%N(0:0=""Not VNAV SPD"",1:1=""VNAV SPD"")",NUMBER,NUMBER,NUMBER
288200.0000,,,,,,,,,,,,,,1.0000,1.0000,5.9996,,,-0.04,,-1.95,1.95,,,Air,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,-0.10,-0.1,0.02,-0.02,-0.04,0.35,0.35,,-0.04,-0.06,-3.95,-4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.65,,,,,,,,,,,,DISPLAY IAS,,,,SET,SET,,,,,-0.18,-0.18,,,,,,,,,,,,,,,,,,,V NAV PATH,,,,
288200.0625,,,,,,,,,,,,,-0.0625,1.0000,1.0000,5.9996,,,,,,,,,,511.75,,,,,,,,,,-1.0,,,,,,,,ON,,,,,,,,,,,,,,,,,,,,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.095,,,Engage,1023.5,,,,,Eng,359.65,,,4092,,,,,,,,,,,Engage,,,,,,,,,,,-0.1,-0,0.03,,-0.01,,,,,,,,,,,,,,,,,,-0.1
288200.1250,,,,,,,,ON,ON,ON,,ON,,1.0000,1.0000,5.9996,,-0.04,,-0.06,-1.95,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,-0.10,-0.1,0.02,-0.02,-0.04,0.35,0.35,,,,-3.95,-4.05,,,,,,,,,,,,,,1023,,,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPD INT SEL,,,,,,,,,
288200.1875,,ON,UNAVAIL,,,,,,,,,,-0.0625,1.0000,1.0000,5.9996,,,,,,,,,,,,,,,,,,,,,-1,-1.00,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,16368,127.88,127.875,,,,,,,,179.8,,,,,,,,,,,,,,,,,179.8,,NOT SEL,NOT SEL,,,,,,511,65520,,,Warn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,-0,0.03,-0.01,,,,,,,,,,,,,,,,,359.6,,-0.1
288200.2500,,,,,,,,,,,,,,1.0000,1.0000,5.9996,,,-0.04,,-1.95,1.95,,,Air,,,,,,,,,,1.0,,,,,F/D Only,,,,,,,SELECTED,,,-0.01,-0.10,-0.1,0.02,-0.02,-0.04,0.35,0.35,,-0.04,-0.06,-3.95,-4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SW On,SW On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.18,-0.18,,,,,,,,,359,,,,,,,,,,,,,,
288200.3125,,,,,,,,,,,,,-0.0625,1.0000,1.0000,5.9996,,,,,,,,,,511.75,,,,,-32.0,,,-32.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,-0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023.5,,1023.5,,,,359.65,,,,,,,,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,,,,,,,,,,,,,-0.1,-0,0.03,,-0.01,,,,,,,,,,,,VIS ALRT ON,,,VNAV SPD,,,-0.1
288200.3750,,,,,,,,,,,,,,1.0000,1.0000,5.9996,,-0.04,,-0.06,-1.95,1.95,,,,,,,,,,,,,,,,,,,Off,Off,,,,,,On,On,-0.01,-0.10,-0.1,0.02,-0.02,-0.04,0.35,0.35,,,,-3.95,-4.05,,,FIRE,,,,,,,,,,,,,,,,,FIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288200.4375,ON,,,,,,,,,,,,-0.0625,1.0000,1.0000,5.9996,,,,,,,,,,,,511.8,,,,,,,,,,-1.00,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.875,,,,,179.8,,,,,,,,,,,,,,,,,179.8,Engage,,,,,,,,,,,FMC Valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,-0,0.03,-0.01,,,,,,,,Single Chl Eng,,,,,,,,,,255.5,-0.1
